X,Y,施設名,所在地,小分類
135.4992223,34.6588192,難波年金事務所,浪速区敷津東1-6-16,国
135.4997309,34.6600439,浪速税務署,浪速区難波中3-13-9,国
135.498942,34.6643109,難波公証役場,浪速区難波中1-10-4　南海野村ビル６階,国
135.4928083,34.660175,環境局中部環境事業センター出張所,浪速区塩草2-1-1,市
135.4994722,34.659411,浪速区役所・浪速区保健福祉センター,浪速区敷津東1-4-20,市
135.4950249,34.6660779,難波市民学習センター,浪速区湊町1-4-1 OCATビル4F,市
135.4950309,34.6662671,なんば市税事務所,浪速区湊町1-4-1　大阪シティエアターミナルビル（OCAT）5階,市
135.4989689,34.6521831,府立今宮高等学校,浪速区戎本町2-7-39,学校
135.4839311,34.6598968,公共職業能力開発施設　芦原高等職業技術専門校,浪速区木津川２－３－15,学校
135.4923832,34.661133,大阪市立難波特別支援学校,浪速区塩草1-3-29,学校
135.4993327,34.6615361,浪速屋内プ－ル,浪速区難波中3-8-8,スポーツ
135.4993503,34.6614581,浪速アイススケ－ト場,浪速区難波中3-8-8,スポーツ
135.4993327,34.661614,浪速スポ－ツセンタ－,浪速区難波中3-8-8,スポーツ
135.4990808,34.6625439,大阪府立体育会館,浪速区難波中3-4-36,スポーツ
135.50745,34.661567,日本橋公園,浪速区日本橋3-2,公園
135.485815,34.655378,浪速西公園,浪速区浪速西3-10,公園
135.4835916,34.6615358,芦原公園,浪速区久保吉2-1,公園
135.502775,34.657995,関谷町公園,浪速区日本橋西1-9,公園
135.494677,34.655343,大国町北公園,浪速区大国2-3,公園
135.492926,34.66192,浪速公園,浪速区塩草1-1,公園
135.495106,34.659093,?町公園,浪速区敷津西1-7,公園
135.489329,34.657077,浪速中公園,浪速区浪速東2-8,公園
135.486086,34.657604,浪速北公園,浪速区浪速西1-10,公園
135.495254,34.652931,大国町南公園,浪速区大国2-14,公園
135.50749,34.65809,日東公園,浪速区日本橋東3-2,公園
135.509295,34.656594,愛染公園,浪速区下寺3-5,公園
135.483613,34.665617,桜川公園,浪速区桜川4-13,公園
135.496147,34.664867,元町中公園,浪速区元町1-6,公園
135.485069,34.664009,立葉町公園,浪速区立葉2-4,公園
135.499462,34.660631,難波中公園,浪速区難波中3-11,公園
135.499859,34.655736,高岸公園,浪速区敷津東3-9,公園
135.489632,34.654524,浪速南公園,浪速区浪速東3-8,公園
135.489686,34.667183,稲荷町公園,浪速区桜川2-5,公園
135.487996,34.659559,浪速第１公園,浪速区浪速西1-2,公園
135.483358,34.657626,木津川公園,浪速区木津川2-3,公園
135.501766,34.653275,恵美公園,浪速区恵美須西2-13,公園
135.4921961,34.659356,塩草公園,浪速区塩草2-8,公園
135.484501,34.660336,久保吉公園,浪速区久保吉2-2,公園
135.4914987,34.6548508,浪速東３公園,浪速区浪速東3-3,公園
135.4888,34.655771,浪速玉姫公園,浪速区浪速東3-13,公園
135.500232,34.65208,戎南公園,浪速区戎本町2-5,公園
135.486185,34.652856,新浪速公園,浪速区浪速西4-2,公園
135.490933,34.656594,浪速東公園,浪速区浪速東2-2,公園
135.4872474,34.6548684,西栄緑道,浪速区浪速西3-8,公園
135.494039,34.661836,難波塩草敷津公園,浪速区元町2-14,公園
135.48213,34.6686,幸町西公園,浪速区幸町3-8,公園
135.499545,34.652887,戎公園,浪速区戎本町1-3,公園
135.493634,34.653218,今宮駅前第２公園,浪速区大国3-13,公園
135.4954999,34.6685781,湊町リバープレイス,浪速区湊町1-3-1,会館
135.498089,34.654206,大阪皮革産業会館（アルフィック大阪）,浪速区戎本町1-8-20,会館
135.4832972,34.6602279,A´ワーク創造館,浪速区木津川2-3-8,会館
135.507683,34.6591421,私立愛染園愛染橋児童館,浪速区日本橋東2-9-9,会館
135.4902501,34.6649781,浪速区民センター,浪速区稲荷2-4-3,会館
135.4959688,34.6585779,大阪市立浪速図書館,浪速区敷津西1-5-23,図書館
135.4864502,34.6545219,大阪人権博物館（リバティおおさか）,浪速区浪速西3-6-36,博物館
135.4986078,34.661133,日本工芸館,浪速区難波中3-7-6,博物館
135.5031919,34.6511921,恵美須交番,浪速区恵美須西3-3-37,警察
135.5057063,34.6493169,新世界交番,浪速区恵美須東3-4-20,警察
135.4885442,34.655528,浪速町交番,浪速区浪速東3-12-15,警察
135.4942359,34.656622,大国交番,浪速区大国3-1-1,警察
135.5059138,34.6547469,浪速警察署,浪速区日本橋5-5-11,警察
135.5073138,34.6582831,日本橋東交番,浪速区日本橋東3-2-16,警察
135.4994641,34.662756,体育会館前交番,浪速区難波中3-4-39,警察
135.4879688,34.6681999,桜川交番,浪速区桜川3-1-1,警察
135.495064,34.6667861,ＪＲなんば駅前交番,浪速区湊町1-4-1ＯＣＡＴビル内,警察
135.4886695,34.6541587,浪速消防署浪速出張所,浪速区浪速東3-11-19,消防
135.5061826,34.6545341,浪速消防署恵美須出張所,浪速区日本橋5-5-10,消防
135.4890441,34.6636563,浪速消防署立葉出張所,浪速区桜川2-14-12,消防
135.4954972,34.6634502,浪速消防署,浪速区元町1-14-20,消防
135.488553,34.657444,浪速生野病院,浪速区浪速東2-13-19,病院
135.5059691,34.6589891,若弘会病院,浪速区日本橋4-7-17,病院
135.4849541,34.6655907,有田医院（病児保育施設）,浪速区桜川４丁目１１－１６,病院
135.5049969,34.657519,愛染橋病院,浪速区日本橋5-16-15,病院
135.4949252,34.6670861,富永病院,浪速区湊町1-4-48,病院
135.4894329,34.6689919,なにわ病院,浪速区幸町2-3-11,病院
135.4912418,34.6542112,浪速子育て支援センター,浪速区浪速東3-2-53　浪速第１保育所内,福祉施設
135.4973668,34.6520501,ピースクラブ,浪速区大国1-11-1,福祉施設
135.4885247,34.6578109,スワンなにわ在宅サービスステーション,浪速区浪速東1-11-8,福祉施設
135.4837748,34.6609062,大阪府福祉人権推進センター(ヒューマインド),浪速区久保吉2-2-3,福祉施設
135.4844641,34.6606029,スワンなにわデイケアセンター,浪速区久保吉2-2-6,福祉施設
135.4926028,34.6597561,つどいの広場小田町,浪速区塩草2-1-13,福祉施設
135.5001581,34.6549889,自立支援センターＯＳＡＫＡぽらんぽらん,浪速区敷津東3-6-10,福祉施設
135.5046223,34.6576639,特別養護老人ホームあいぜん,浪速区日本橋5-16-19,福祉施設
135.4959668,34.6586529,なにわ保健センター附属診療所,浪速区敷津西1-5-23,福祉施設
135.4993422,34.6612812,浪速区ボランティアビューロー,浪速区難波中3-8-8,福祉施設
135.4993442,34.6611829,浪速区在宅サービスセンター,浪速区難波中3-8-8,福祉施設
135.4993469,34.6610809,浪速区在宅デイサービスセンター,浪速区難波中3-8-8,福祉施設
135.4993361,34.661378,浪速区社会福祉協議会,浪速区難波中3-8-8,福祉施設
135.4993469,34.6609941,浪速区地域包括支援センター,浪速区難波中3-8-8,福祉施設
135.506436,34.6586281,日本橋老人訪問看護ステーション,浪速区日本橋5-9-22サンキビル5F,福祉施設
135.4894248,34.668939,特別養護老人ホームなにわ,浪速区幸町2-3-11,福祉施設
135.4894389,34.6688751,難波地域在宅サービスステーションなにわ,浪速区幸町2-3-11,福祉施設
135.5071609,34.651797,日本橋地域在宅サービスステーション,浪速区恵美須東2-1-4,福祉施設
135.5090002,34.6575079,なにわ工房,浪速区下寺3-2-7,福祉施設
135.5097891,34.6599331,浪速区子ども・子育てプラザ,浪速区下寺2-2-12,福祉施設
135.509775,34.6597971,浪速区老人福祉センター,浪速区下寺2丁目2番12号,福祉施設
135.5098814,34.6598876,ファミリー・サポート・センター浪速,浪速区下寺2-2-12（浪速区子ども・子育てプラザ内）,福祉施設
135.4872527,34.6661529,アシステンツァ桜川,浪速区桜川3-7-2,特別養護老人ホーム
135.4894888,34.6689065,なにわ,浪速区幸町2-3-11,特別養護老人ホーム
135.5046721,34.6576668,あいぜん,浪速区日本橋5-16-19,特別養護老人ホーム
135.4858728,34.6656353,さくらがわ,浪速区桜川4-10-13,介護老人保健施設
135.485858,34.6556189,浪速神社,浪速区浪速西3-10,社寺
135.494525,34.6561169,願泉寺,浪速区大国2-2,社寺
135.494781,34.656806,唯専寺,浪速区敷津西2-13,社寺
135.4971579,34.6576328,敷津松之宮・大国主神社,浪速区敷津西1-2,社寺
135.5024751,34.655317,今宮戎神社,浪速区恵美須西1-6,社寺
135.5026327,34.6567251,廣田神社,浪速区日本橋西2-4,社寺
135.5094583,34.6540061,合邦辻閻魔堂,浪速区下寺3-16,社寺
135.4967079,34.6616528,難波八阪神社,浪速区元町2-9,社寺
135.4975669,34.6642891,瑞龍寺,浪速区元町1-10,社寺
135.4888029,34.6649419,赤手拭稲荷神社,浪速区稲荷2-6,社寺
135.5050642,34.6624109,大乗坊と毘沙門天王立像,浪速区日本橋3-6,社寺
135.4856249,34.6560559,「海の玄関口」の碑,浪速区浪速西2-14,名所
135.4885577,34.655958,太鼓屋又兵衛屋敷跡（浪速玉姫公園）,浪速区浪速東3-13,名所
135.481119,34.6681998,「安政大津波」の碑,浪速区幸町3-9,名所
135.4911718,34.6551751,「西濱水平社発祥の地」の碑,浪速区浪速東3-3,名所
135.5063079,34.6526309,通天閣,浪速区恵美須東1-18-6,名所
135.5063329,34.6505189,ジャンジャン横丁,浪速区恵美須東3丁目2～4番,名所
135.5063079,34.6525529,王将碑,浪速区恵美須東1-18,名所
135.5055891,34.6505171,大阪国技館跡,浪速区恵美須東3-4,名所
135.504664,34.6534811,「小西来山十萬堂跡」の碑,浪速区恵美須西2-1,名所
135.4946833,34.6592721,「折口信夫生誕の地」の碑,浪速区敷津西1-7（鴎町公園内）,名所
135.4974719,34.657747,木津勘助銅像,浪速区敷津西1-2（敷津松之宮・大国主神社内）,名所
135.5020142,34.6633689,なんばCITY,浪速区難波中2-10,名所
135.5017777,34.6624331,なんばパークス,浪速区難波2-10-70,名所
135.5017777,34.662333,南海ホークスメモリアル施設,浪速区難波2-10-70　なんばパークス内,名所
135.5017528,34.6630641,「難波御蔵・難波新川跡」の碑,浪速区難波中2-10,名所
135.499933,34.6608999,「鼬（いたち）川くり船発掘の地」の碑,浪速区難波中3-10,名所
135.5059563,34.6597672,でんでんタウン,浪速区,名所
135.5049692,34.6577891,秩父宮同妃両殿下台臨記念碑,浪速区日本橋5-16,名所
135.507394,34.6627249,御蔵跡履物街,浪速区日本橋東3丁目1番・5番、1丁目1～3番,名所
135.5060641,34.6624471,高島屋史料館,浪速区日本橋3-5-25(高島屋東別館 南側入口 3階),名所
135.4918442,34.6693059,水防碑,浪速区幸町2-1(西道頓堀橋南西詰),名所
135.5007267,34.6501938,ＪＲ新今宮駅,,駅
135.5002854,34.650302,南海電鉄新今宮駅,,駅
135.4930299,34.6542097,今宮駅,,駅
135.5015925,34.655133,今宮戎駅,,駅
135.5050386,34.654049,恵美須町駅,,駅
135.49786,34.6561221,地下鉄御堂筋線四つ橋線大国町駅,,駅
135.5056484,34.6559311,地下鉄堺筋線恵美須町駅,,駅
135.4865365,34.6606284,芦原町駅,,駅
135.4889215,34.6592015,芦原橋駅,,駅
135.4888002,34.6684459,地下鉄千日前線桜川駅,,駅
135.4861706,34.6682409,汐見橋駅,,駅
135.4953631,34.6664654,ＪＲ難波駅,,駅
135.4974416,34.6665183,地下鉄四つ橋線なんば駅,,駅
135.4879928,34.6631568,立葉,大阪市浪速区芦原１丁目１番先,バス停
135.4904232,34.664024,難波中学校前,大阪市浪速区稲荷２丁目７番先,バス停
135.4904891,34.6625157,難波中学校前,大阪市浪速区塩草１丁目１番先,バス停
135.4903414,34.659519,塩草,大阪市浪速区塩草２丁目５番先,バス停
135.489963,34.6600604,塩草,大阪市浪速区塩草３丁目１１番先,バス停
135.4850189,34.6633762,大浪橋東詰,大阪市浪速区久保吉１丁目１番先,バス停
135.4921618,34.6687813,幸町一丁目,大阪市浪速区幸町１丁目３番先,バス停
135.4918795,34.6689746,幸町一丁目,大阪市浪速区幸町２丁目２番先,バス停
135.4926206,34.6679522,幸町一丁目,大阪市浪速区桜川１丁目７番先,バス停
135.4910612,34.6684279,幸町一丁目,大阪市浪速区幸町２丁目２番先,バス停
135.4925442,34.6682945,幸町一丁目,大阪市浪速区幸町１丁目３番先,バス停
135.4906124,34.6681447,幸町一丁目,大阪市浪速区桜川２丁目２番先,バス停
135.4886797,34.6682812,地下鉄桜川,大阪市浪速区桜川２丁目３番先,バス停
135.4875714,34.6686992,地下鉄桜川,大阪市浪速区幸町２丁目７番先,バス停
135.4843963,34.66805,幸町三丁目,大阪市浪速区桜川４丁目２番地先,バス停
135.4837789,34.6683456,幸町三丁目,大阪市浪速区幸町３丁目７番地先,バス停
135.4882019,34.6656995,赤手拭稲荷前,大阪市浪速区桜川２丁目１１番先,バス停
135.4881739,34.6638332,立葉,大阪市浪速区桜川２丁目１３番先,バス停
135.4882859,34.6681054,地下鉄桜川,大阪市浪速区桜川２丁目３番先,バス停
135.4880778,34.6678073,地下鉄桜川,大阪市浪速区桜川３丁目１番先,バス停
135.4960512,34.6678107,ＪＲ難波駅前,大阪市浪速区湊町１丁目３番先,バス停
135.4963995,34.667391,ＪＲ難波駅前,大阪市浪速区湊町１丁目４番先,バス停
135.4967359,34.6679212,ＪＲ難波駅前,大阪市浪速区湊町１丁目３番先,バス停
135.4876012,34.6636216,立葉,大阪市浪速区立葉１丁目４番先,バス停
135.4847032,34.6635288,大浪橋東詰,大阪市浪速区立葉２丁目８番先,バス停
135.487976,34.6650237,赤手拭稲荷前,大阪市浪速区立葉町１丁目１番先,バス停
135.4884544,34.6592525,芦原橋駅前,大阪市浪速区浪速東１丁目３番先,バス停
135.4862314,34.6534762,浪速西四丁目,大阪市浪速区浪速西４丁目１番先,バス停
135.4861077,34.6531602,浪速西四丁目,大阪市浪速区浪速西４丁目２番先,バス停
135.488238,34.655754,浪速西三丁目,大阪市浪速区浪速西３丁目１番先,バス停
135.4903373,34.6583404,浪速東一丁目,大阪市浪速区浪速東１丁目１番先,バス停
135.4900868,34.658284,浪速東一丁目,大阪市浪速区浪速東１丁目２番先,バス停
135.4903741,34.6561219,浪速東二丁目,大阪市浪速区浪速東２丁目４番先,バス停
135.4885027,34.6550842,浪速西三丁目,大阪市浪速区浪速東３丁目１２番先,バス停
135.490183,34.6555858,浪速東二丁目,大阪市浪速区浪速東３丁目９番先,バス停
135.4882282,34.6592744,芦原橋駅前,大阪市浪速区浪速西１丁目２番先,バス停
135.5060903,34.6557016,えびすパーキング,浪速区日本橋5-6-19,駐車場
135.5034446,34.6625694,なんばパーキング,浪速区難波中2-3-12,駐車場
135.4987944,34.6566179,中央ﾓｰﾀｰﾌﾟｰﾙ,浪速区敷津東2-4-4,駐車場
135.4990282,34.6579842,ﾛｼﾞｭﾏﾝ浪速,浪速区敷津東1-8-9,駐車場
135.5067499,34.6560696,パーキング第二杉乃雄,浪速区日本橋東3-11-21,駐車場
135.498239,34.658381,パーク王浪速第2敷津東1丁目,浪速区敷津東１丁目８－２３,駐車場
135.4962531,34.6664466,エコステーション21マルイト難波ビル,浪速区湊町1-2-3,駐車場
135.4985896,34.6637368,スパークなんば,浪速区難波中1-11-4,駐車場
135.5063066,34.6570579,バイクタイムズ　ＯＪＫ日東住宅,浪速区日本橋5-7,駐車場
135.490758,34.667744,タイムズ桜川駅前第2,浪速区桜川２丁目2-3,駐車場
135.509217,34.657437,タイムズ下寺第2,浪速区下寺３丁目３-14,駐車場
135.5074196,34.6605548,ｲﾀﾐﾔﾓｰﾀｰﾌﾟｰﾙ,浪速区日本橋4-1-2,駐車場
135.5046229,34.6609391,ＡＰパーク日本橋Ⅰ,浪速区難波中2-5-21,駐車場
135.4968918,34.6684551,湊町バイク駐車場,浪速区湊町1丁目地内,駐車場
135.503282,34.662551,浪速第１難波中２丁目月極バイク駐車場,浪速区難波中２丁目３－１１,駐車場
135.5023437,34.6557341,日本橋西駐車場,浪速区日本橋西２－８,駐車場
135.5063901,34.6595352,SHELLO BIKE PARK 日本橋,浪速区日本橋4-7-28,駐車場
135.4943525,34.6666564,OCAT地下,浪速区湊町1-4-1,駐車場
135.4881083,34.6598215,芦原橋駅自転車駐車場での受入れ,浪速区浪速西１丁目,駐車場
135.5030316,34.6595636,オオクラモータープール,浪速区日本橋西1-6-19,駐車場
135.5041985,34.6625003,千南モータープール,浪速区難波中2-4-12,駐車場
135.4975783,34.6656047,ﾅﾝﾊﾞﾓｰﾀｰﾌﾟｰﾙ,浪速区元町1-4-10,駐車場
135.506288,34.661108,,浪速区日本橋３丁目４－９,駐輪場
135.5025734,34.649954,新今宮駅自転車駐車場,大阪市浪速区恵美須西３丁目,駐輪場
135.4927315,34.6549479,今宮駅自転車駐車場,大阪市浪速区大国3丁目13,駐輪場
135.4983525,34.6542574,大国町駅自転車駐車場,大阪市浪速区戎本町１丁目,駐輪場
135.5054254,34.657168,恵美須町駅自転車駐車場,大阪市浪速区日本橋５丁目,駐輪場
135.4891971,34.6591276,芦原橋駅自転車駐車場,大阪市浪速区浪速東1丁目3,駐輪場
135.498085,34.6649179,ミナミエリア２自転車駐車場,浪速区難波中１丁目,駐輪場
135.499202,34.6651252,ミナミエリア２自転車駐車場,浪速区難波中１丁目,駐輪場
135.4995443,34.6649464,ミナミエリア２自転車駐車場,浪速区難波中１丁目,駐輪場
135.4864024,34.6682375,桜川駅・JR難波駅・汐見橋駅自転車駐車場,大阪市浪速区桜川３丁目,駐輪場
135.4956286,34.667495,桜川駅・JR難波駅・汐見橋駅自転車駐車場,大阪市浪速区湊町１丁目,駐輪場
135.4977037,34.6671023,ミナミエリア２自転車駐車場,浪速区難波中１丁目,駐輪場
135.4979637,34.6669346,ミナミエリア２自転車駐車場,浪速区難波中１丁目,駐輪場
135.4886621,34.6590209,芦原橋駅自転車駐車場,大阪市浪速区浪速東１丁目,駐輪場
135.4932341,34.6536163,今宮駅自転車駐車場,大阪市浪速区浪速東３丁目,駐輪場
135.4962834,34.6552679,大国町駅自転車駐車場,大阪市浪速区大国１丁目,駐輪場
135.4880382,34.6599356,芦原橋駅自転車駐車場,大阪市浪速区浪速西１丁目,駐輪場
135.4877708,34.6687307,桜川駅自転車駐車場,大阪市浪速区幸町２丁目,駐輪場
135.4887194,34.6686572,桜川駅自転車駐車場,大阪市浪速区幸町２丁目,駐輪場
135.4905203,34.6685382,桜川駅自転車駐車場,大阪市浪速区幸町２丁目,駐輪場
135.4907325,34.6680898,桜川駅自転車駐車場,大阪市浪速区桜川２丁目,駐輪場
135.490876,34.6680041,桜川駅自転車駐車場,大阪市浪速区桜川２丁目,駐輪場
135.491415,34.6684636,桜川駅・JR難波駅・汐見橋駅自転車駐車場,浪速区幸町２丁目,駐輪場
135.4913227,34.66799,桜川駅・JR難波駅・汐見橋駅自転車駐車場,浪速区桜川２丁目,駐輪場
135.4886345,34.6681928,桜川駅・JR難波駅・汐見橋駅自転車駐車場,浪速区桜川２丁目,駐輪場
135.4877613,34.6682567,桜川駅・JR難波駅・汐見橋駅自転車駐車場,浪速区桜川３丁目,駐輪場
135.4958792,34.6678622,桜川駅・JR難波駅・汐見橋駅自転車駐車場,浪速区湊町１丁目,駐輪場
135.4831031,34.6624508,芦原公園　公衆トイレ１,,公衆便所
135.4838382,34.6615353,芦原公園　公衆トイレ２,,公衆便所
135.4923475,34.6590249,塩草公園　公衆トイレ,,公衆便所
135.505961,34.6525241,新世界,,公衆便所
135.5020661,34.6537515,恵美公園　公衆トイレ,,公衆便所
135.4931371,34.6619066,浪速公園　公衆トイレ,,公衆便所
135.4995281,34.6587948,（株）泰進環境,浪速区敷津東1-6-20,古紙回収協力店
135.503019,34.652755,（株）新地衛生,浪速区恵美須西２丁目１２－１０,古紙回収協力店
135.5080011,34.6541846,（株）きわきん,浪速区日本橋東3-16-5,古紙回収協力店
135.495959,34.660428,（有）相互衛生,浪速区元町３丁目３－１０,古紙回収協力店
135.5009679,34.6504469,合同衛生（株）,浪速区恵美須西3-16-41,古紙回収協力店
135.4988578,34.6552941,関西電力株式会社難波営業所,浪速区敷津東3-8-8,その他施設
135.499861,34.657253,大阪木津地方卸売市場,浪速区敷津東2-2-8,その他施設
135.4949811,34.6666778,OCAT（大阪シティエアターミナル）,浪速区湊町1-4-1,その他施設
135.499618,34.661446,浪速スポーツセンター,浪速区難波中３丁目８－８ 市立浪速屋内プール,無線LANスポット
135.497839,34.656448,御堂筋線・四つ橋線大国町駅無線LANスポット,,無線LANスポット
135.505645,34.656673,堺筋線恵美須町駅無線LANスポット,,無線LANスポット
135.497233,34.667029,四つ橋線なんば駅無線LANスポット,,無線LANスポット
135.4996629,34.6594457,浪速区役所無線LANスポット,浪速区敷津東1-4-20,無線LANスポット
135.489643,34.66837,千日前線桜川駅無線LANスポット,,無線LANスポット
135.496123,34.658659,浪速図書館無線LANスポット,浪速区敷津西１丁目５－２３,無線LANスポット
135.507603,34.649635,天王寺動物園無線LANスポット（南売店付近）,浪速区恵美須東３丁目２－７,無線LANスポット
135.501316,34.662572,なんばパークスバス駐車場,浪速区難波中2丁目10－70,駐車場
135.505627,34.64991,スパワールド駐車場,浪速区恵美須東3丁目4－24,駐車場
135.4912956,34.6686882,D‐Parking桜川バス駐車場,浪速区幸町2丁目９－１２,駐車場
135.495619,34.6670701,OCATバスターミナル,浪速区湊町1丁目OCATビル2階　バスターミナル,駐車場
135.493514,34.66181,塩草駐車場,浪速区塩草1丁目,駐車場
135.507619,34.659074,愛染園愛染橋保育園,浪速区日本橋東2-9-11,保育所
135.509384,34.65769,愛染橋保育園分室,浪速区下寺３－１－１４　エクレール夕陽丘２階部分,保育所
135.492722,34.659762,大阪市立小田町保育所,浪速区塩草2-1-12,保育所
135.495855,34.653774,大阪市立大国保育所,浪速区大国2-13-1,保育所
135.491306,34.654321,大阪市立浪速第1保育所,浪速区浪速東3-2-53,保育所
135.484514,34.657975,大阪市立浪速第5保育所,浪速区木津川2-3-46,保育所
135.50211,34.656113,大阪市立広田保育所,浪速区日本橋西2-8-11,保育所
135.49476,34.663279,蓮美幼児学園みなとまちナーサリー,浪速区湊町2-1-34 アーベインなんば1F,保育所
135.482578,34.668657,浪速さくら保育園,浪速区幸町3-8-2日吉橋ハイツ１階,保育所
135.485394,34.668646,浪速さくら保育園幸町分園２F・３Ｆ,浪速区幸町３－３－１４ジュネス幸町２・３階,保育所
135.49468,34.660406,もとまちさくらさくほいくえん,浪速区元町3-6-2,保育所
135.500243,34.652508,グローバルキッズ戎本町園,浪速区戎本町2-6-26,保育所
135.493687,34.665741,桜川保育園,浪速区桜川1-4-5,保育所
135.488243,34.664364,ぬくもりのおうち保育　桜川園,浪速区桜川２－１３－２３　メゾンパシフィック１Ｆ,保育所
135.485592,34.669544,あったかスマイル・なにわ,浪速区幸町３－１－９,保育所
135.503848,34.652477,保育ママ　大きなじゃんぐる,浪速区恵美須西２－４－９　,保育所
135.491467,34.669292,あい・あい保育園　桜川園,浪速区幸町２－１－５　オークダイト１Ｆ,保育所
135.50595,34.656439,こぐまの森保育園　日本橋園,浪速区日本橋５－７－１２ルネ日本橋２Ｆ,保育所
135.507908,34.658046,大阪市立日東幼稚園,浪速区日本橋東３-２-９,幼稚園
135.484613,34.667084,大阪市立立葉幼稚園,浪速区桜川４-８-２１,幼稚園
135.503762,34.661368,日本橋幼稚園,浪速区難波中2丁目7-5,幼稚園
